# t_pr   N      a     H/m         f              df/m        energy_pr         E        epsilon       eta
# -----------------------------------------------------------------------------------------------------------------
0.000  0.000  1.000  1.94331  -4.8000000e+00  +0.0000000e+00  +1.133e+01  +1.000e+00  +0.000e+00  nan
0.002  0.004  1.004  1.94331  -4.8000000e+00  +4.3818478e-05  +1.124e+01  +1.000e+00  +2.542e-10  +5.116e+02
0.004  0.008  1.008  1.94331  -4.7999998e+00  +8.7128814e-05  +1.115e+01  +1.000e+00  +1.005e-09  +2.543e+02
0.006  0.012  1.012  1.94331  -4.7999996e+00  +1.2993671e-04  +1.107e+01  +1.000e+00  +2.235e-09  +1.685e+02
0.008  0.016  1.016  1.94331  -4.7999993e+00  +1.7224780e-04  +1.098e+01  +1.000e+00  +3.928e-09  +1.257e+02
0.010  0.019  1.020  1.94331  -4.7999989e+00  +2.1406766e-04  +1.090e+01  +1.000e+00  +6.067e-09  +9.994e+01
0.012  0.023  1.024  1.94331  -4.7999984e+00  +2.5540181e-04  +1.081e+01  +1.000e+00  +8.636e-09  +8.279e+01
0.014  0.027  1.028  1.94331  -4.7999979e+00  +2.9625568e-04  +1.073e+01  +1.000e+00  +1.162e-08  +7.055e+01
0.016  0.031  1.032  1.94331  -4.7999973e+00  +3.3663467e-04  +1.065e+01  +1.000e+00  +1.500e-08  +6.136e+01
0.018  0.035  1.036  1.94331  -4.7999966e+00  +3.7654411e-04  +1.056e+01  +1.000e+00  +1.877e-08  +5.422e+01
0.020  0.039  1.040  1.94331  -4.7999958e+00  +4.1598926e-04  +1.048e+01  +1.000e+00  +2.291e-08  +4.851e+01
0.022  0.043  1.044  1.94331  -4.7999949e+00  +4.5497534e-04  +1.040e+01  +1.000e+00  +2.741e-08  +4.384e+01
0.024  0.047  1.048  1.94331  -4.7999939e+00  +4.9350749e-04  +1.032e+01  +1.000e+00  +3.225e-08  +3.994e+01
0.026  0.051  1.052  1.94331  -4.7999929e+00  +5.3159080e-04  +1.024e+01  +1.000e+00  +3.741e-08  +3.665e+01
0.028  0.054  1.056  1.94331  -4.7999918e+00  +5.6923033e-04  +1.016e+01  +1.000e+00  +4.290e-08  +3.383e+01
0.030  0.058  1.060  1.94331  -4.7999906e+00  +6.0643103e-04  +1.008e+01  +1.000e+00  +4.869e-08  +3.138e+01
0.032  0.062  1.064  1.94331  -4.7999894e+00  +6.4319785e-04  +1.000e+01  +1.000e+00  +5.477e-08  +2.924e+01
0.034  0.066  1.068  1.94331  -4.7999881e+00  +6.7953564e-04  +9.927e+00  +1.000e+00  +6.114e-08  +2.736e+01
0.036  0.070  1.072  1.94331  -4.7999867e+00  +7.1544922e-04  +9.850e+00  +1.000e+00  +6.777e-08  +2.568e+01
0.038  0.074  1.077  1.94331  -4.7999852e+00  +7.5094335e-04  +9.774e+00  +1.000e+00  +7.466e-08  +2.418e+01
0.040  0.078  1.081  1.94331  -4.7999837e+00  +7.8602274e-04  +9.698e+00  +1.000e+00  +8.180e-08  +2.283e+01
0.042  0.082  1.085  1.94331  -4.7999821e+00  +8.2069204e-04  +9.623e+00  +1.000e+00  +8.918e-08  +2.161e+01
0.044  0.086  1.089  1.94331  -4.7999804e+00  +8.5495586e-04  +9.548e+00  +1.000e+00  +9.678e-08  +2.050e+01
0.046  0.089  1.094  1.94331  -4.7999786e+00  +8.8881874e-04  +9.475e+00  +1.000e+00  +1.046e-07  +1.949e+01
0.048  0.093  1.098  1.94331  -4.7999768e+00  +9.2228518e-04  +9.401e+00  +1.000e+00  +1.126e-07  +1.856e+01
0.050  0.097  1.102  1.94331  -4.7999750e+00  +9.5535965e-04  +9.328e+00  +1.000e+00  +1.208e-07  +1.771e+01
0.052  0.101  1.106  1.94331  -4.7999730e+00  +9.8804652e-04  +9.256e+00  +1.000e+00  +1.293e-07  +1.692e+01
0.054  0.105  1.111  1.94331  -4.7999710e+00  +1.0203502e-03  +9.184e+00  +1.000e+00  +1.378e-07  +1.620e+01
0.056  0.109  1.115  1.94331  -4.7999689e+00  +1.0522749e-03  +9.113e+00  +1.000e+00  +1.466e-07  +1.552e+01
0.058  0.113  1.119  1.94331  -4.7999668e+00  +1.0838249e-03  +9.043e+00  +1.000e+00  +1.555e-07  +1.489e+01
0.060  0.117  1.124  1.94331  -4.7999646e+00  +1.1150044e-03  +8.973e+00  +1.000e+00  +1.646e-07  +1.430e+01
0.062  0.120  1.128  1.94331  -4.7999623e+00  +1.1458177e-03  +8.903e+00  +1.000e+00  +1.738e-07  +1.376e+01
0.064  0.124  1.132  1.94331  -4.7999600e+00  +1.1762687e-03  +8.834e+00  +1.000e+00  +1.832e-07  +1.324e+01
0.066  0.128  1.137  1.94331  -4.7999576e+00  +1.2063616e-03  +8.766e+00  +1.000e+00  +1.927e-07  +1.276e+01
0.068  0.132  1.141  1.94331  -4.7999552e+00  +1.2361003e-03  +8.698e+00  +1.000e+00  +2.023e-07  +1.231e+01
0.070  0.136  1.146  1.94331  -4.7999527e+00  +1.2654890e-03  +8.631e+00  +1.000e+00  +2.120e-07  +1.188e+01
0.072  0.140  1.150  1.94331  -4.7999501e+00  +1.2945314e-03  +8.564e+00  +1.000e+00  +2.219e-07  +1.148e+01
0.074  0.144  1.155  1.94331  -4.7999475e+00  +1.3232315e-03  +8.498e+00  +1.000e+00  +2.318e-07  +1.110e+01
0.076  0.148  1.159  1.94331  -4.7999448e+00  +1.3515931e-03  +8.432e+00  +1.000e+00  +2.419e-07  +1.073e+01
0.078  0.152  1.164  1.94331  -4.7999421e+00  +1.3796200e-03  +8.367e+00  +1.000e+00  +2.520e-07  +1.039e+01
0.080  0.155  1.168  1.94331  -4.7999393e+00  +1.4073160e-03  +8.302e+00  +1.000e+00  +2.622e-07  +1.007e+01
0.082  0.159  1.173  1.94331  -4.7999365e+00  +1.4346848e-03  +8.237e+00  +1.000e+00  +2.725e-07  +9.758e+00
0.084  0.163  1.177  1.94331  -4.7999336e+00  +1.4617301e-03  +8.174e+00  +1.000e+00  +2.829e-07  +9.464e+00
0.086  0.167  1.182  1.94331  -4.7999306e+00  +1.4884555e-03  +8.110e+00  +1.000e+00  +2.933e-07  +9.185e+00
0.088  0.171  1.187  1.94331  -4.7999276e+00  +1.5148645e-03  +8.048e+00  +1.000e+00  +3.038e-07  +8.918e+00
0.090  0.175  1.191  1.94331  -4.7999246e+00  +1.5409608e-03  +7.985e+00  +1.000e+00  +3.144e-07  +8.663e+00
0.092  0.179  1.196  1.94331  -4.7999215e+00  +1.5667479e-03  +7.923e+00  +1.000e+00  +3.250e-07  +8.419e+00
0.094  0.183  1.200  1.94331  -4.7999183e+00  +1.5922292e-03  +7.862e+00  +1.000e+00  +3.357e-07  +8.186e+00
0.096  0.187  1.205  1.94331  -4.7999151e+00  +1.6174081e-03  +7.801e+00  +1.000e+00  +3.464e-07  +7.963e+00
0.098  0.190  1.210  1.94331  -4.7999118e+00  +1.6422882e-03  +7.741e+00  +1.000e+00  +3.571e-07  +7.749e+00
0.100  0.194  1.214  1.94331  -4.7999085e+00  +1.6668726e-03  +7.681e+00  +1.000e+00  +3.679e-07  +7.544e+00
0.102  0.198  1.219  1.94331  -4.7999052e+00  +1.6911648e-03  +7.621e+00  +1.000e+00  +3.787e-07  +7.347e+00
0.104  0.202  1.224  1.94331  -4.7999018e+00  +1.7151680e-03  +7.562e+00  +1.000e+00  +3.895e-07  +7.158e+00
0.106  0.206  1.229  1.94331  -4.7998983e+00  +1.7388854e-03  +7.504e+00  +1.000e+00  +4.003e-07  +6.977e+00
0.108  0.210  1.234  1.94331  -4.7998948e+00  +1.7623204e-03  +7.446e+00  +1.000e+00  +4.112e-07  +6.802e+00
0.110  0.214  1.238  1.94331  -4.7998912e+00  +1.7854760e-03  +7.388e+00  +1.000e+00  +4.221e-07  +6.634e+00
0.112  0.218  1.243  1.94331  -4.7998877e+00  +1.8083554e-03  +7.331e+00  +1.000e+00  +4.330e-07  +6.472e+00
0.114  0.222  1.248  1.94331  -4.7998840e+00  +1.8309617e-03  +7.274e+00  +1.000e+00  +4.439e-07  +6.315e+00
0.116  0.225  1.253  1.94331  -4.7998803e+00  +1.8532979e-03  +7.218e+00  +1.000e+00  +4.548e-07  +6.165e+00
0.118  0.229  1.258  1.94331  -4.7998766e+00  +1.8753672e-03  +7.162e+00  +1.000e+00  +4.657e-07  +6.019e+00
0.120  0.233  1.263  1.94331  -4.7998728e+00  +1.8971724e-03  +7.106e+00  +1.000e+00  +4.765e-07  +5.879e+00
0.122  0.237  1.268  1.94331  -4.7998690e+00  +1.9187166e-03  +7.051e+00  +1.000e+00  +4.874e-07  +5.743e+00
0.124  0.241  1.272  1.94331  -4.7998652e+00  +1.9400027e-03  +6.997e+00  +1.000e+00  +4.983e-07  +5.612e+00
0.126  0.245  1.277  1.94331  -4.7998613e+00  +1.9610336e-03  +6.943e+00  +1.000e+00  +5.092e-07  +5.485e+00
0.128  0.249  1.282  1.94331  -4.7998573e+00  +1.9818122e-03  +6.889e+00  +1.000e+00  +5.200e-07  +5.363e+00
0.130  0.253  1.287  1.94331  -4.7998533e+00  +2.0023413e-03  +6.836e+00  +1.000e+00  +5.308e-07  +5.244e+00
0.132  0.257  1.292  1.94331  -4.7998493e+00  +2.0226237e-03  +6.783e+00  +1.000e+00  +5.416e-07  +5.129e+00
0.134  0.260  1.297  1.94331  -4.7998452e+00  +2.0426621e-03  +6.730e+00  +1.000e+00  +5.524e-07  +5.018e+00
0.136  0.264  1.303  1.94331  -4.7998411e+00  +2.0624594e-03  +6.678e+00  +1.000e+00  +5.632e-07  +4.910e+00
0.138  0.268  1.308  1.94331  -4.7998370e+00  +2.0820182e-03  +6.626e+00  +1.000e+00  +5.739e-07  +4.805e+00
0.140  0.272  1.313  1.94331  -4.7998328e+00  +2.1013413e-03  +6.575e+00  +1.000e+00  +5.846e-07  +4.703e+00
0.142  0.276  1.318  1.94331  -4.7998286e+00  +2.1204312e-03  +6.524e+00  +1.000e+00  +5.953e-07  +4.605e+00
0.144  0.280  1.323  1.94331  -4.7998243e+00  +2.1392906e-03  +6.474e+00  +1.000e+00  +6.059e-07  +4.509e+00
0.146  0.284  1.328  1.94331  -4.7998200e+00  +2.1579221e-03  +6.423e+00  +1.000e+00  +6.165e-07  +4.416e+00
0.148  0.288  1.333  1.94331  -4.7998157e+00  +2.1763282e-03  +6.374e+00  +1.000e+00  +6.271e-07  +4.326e+00
0.150  0.291  1.338  1.94331  -4.7998113e+00  +2.1945115e-03  +6.324e+00  +1.000e+00  +6.376e-07  +4.238e+00
0.152  0.295  1.344  1.94331  -4.7998069e+00  +2.2124745e-03  +6.275e+00  +1.000e+00  +6.481e-07  +4.152e+00
0.154  0.299  1.349  1.94331  -4.7998025e+00  +2.2302196e-03  +6.227e+00  +1.000e+00  +6.585e-07  +4.069e+00
0.156  0.303  1.354  1.94331  -4.7997980e+00  +2.2477494e-03  +6.179e+00  +1.000e+00  +6.689e-07  +3.989e+00
0.158  0.307  1.359  1.94331  -4.7997935e+00  +2.2650662e-03  +6.131e+00  +1.000e+00  +6.793e-07  +3.910e+00
0.160  0.311  1.365  1.94331  -4.7997889e+00  +2.2821724e-03  +6.083e+00  +1.000e+00  +6.896e-07  +3.834e+00
0.162  0.315  1.370  1.94331  -4.7997844e+00  +2.2990704e-03  +6.036e+00  +1.000e+00  +6.998e-07  +3.759e+00
0.164  0.319  1.375  1.94331  -4.7997797e+00  +2.3157626e-03  +5.989e+00  +1.000e+00  +7.100e-07  +3.686e+00
0.166  0.323  1.381  1.94331  -4.7997751e+00  +2.3322512e-03  +5.943e+00  +1.000e+00  +7.202e-07  +3.616e+00
0.168  0.326  1.386  1.94331  -4.7997704e+00  +2.3485385e-03  +5.897e+00  +1.000e+00  +7.303e-07  +3.547e+00
0.170  0.330  1.391  1.94331  -4.7997657e+00  +2.3646269e-03  +5.851e+00  +1.000e+00  +7.403e-07  +3.480e+00
0.172  0.334  1.397  1.94331  -4.7997609e+00  +2.3805186e-03  +5.806e+00  +1.000e+00  +7.503e-07  +3.414e+00
0.174  0.338  1.402  1.94331  -4.7997562e+00  +2.3962157e-03  +5.761e+00  +1.000e+00  +7.602e-07  +3.350e+00
0.176  0.342  1.408  1.94331  -4.7997514e+00  +2.4117204e-03  +5.716e+00  +1.000e+00  +7.701e-07  +3.288e+00
0.178  0.346  1.413  1.94331  -4.7997465e+00  +2.4270350e-03  +5.672e+00  +1.000e+00  +7.799e-07  +3.227e+00
0.180  0.350  1.419  1.94331  -4.7997417e+00  +2.4421615e-03  +5.628e+00  +1.000e+00  +7.897e-07  +3.168e+00
0.182  0.354  1.424  1.94331  -4.7997368e+00  +2.4571021e-03  +5.585e+00  +1.000e+00  +7.993e-07  +3.110e+00
0.184  0.358  1.430  1.94331  -4.7997318e+00  +2.4718589e-03  +5.541e+00  +1.000e+00  +8.090e-07  +3.053e+00
0.186  0.361  1.435  1.94331  -4.7997269e+00  +2.4864340e-03  +5.499e+00  +1.000e+00  +8.185e-07  +2.998e+00
0.188  0.365  1.441  1.94331  -4.7997219e+00  +2.5008293e-03  +5.456e+00  +1.000e+00  +8.280e-07  +2.944e+00
0.190  0.369  1.447  1.94331  -4.7997169e+00  +2.5150469e-03  +5.414e+00  +1.000e+00  +8.375e-07  +2.891e+00
0.192  0.373  1.452  1.94331  -4.7997118e+00  +2.5290888e-03  +5.372e+00  +1.000e+00  +8.469e-07  +2.839e+00
0.194  0.377  1.458  1.94331  -4.7997068e+00  +2.5429571e-03  +5.330e+00  +1.000e+00  +8.562e-07  +2.789e+00
0.196  0.381  1.464  1.94331  -4.7997017e+00  +2.5566535e-03  +5.289e+00  +1.000e+00  +8.654e-07  +2.740e+00
0.198  0.385  1.469  1.94331  -4.7996965e+00  +2.5701802e-03  +5.248e+00  +1.000e+00  +8.746e-07  +2.691e+00
0.200  0.389  1.475  1.94331  -4.7996914e+00  +2.5835389e-03  +5.207e+00  +1.000e+00  +8.837e-07  +2.644e+00
0.202  0.393  1.481  1.94331  -4.7996862e+00  +2.5967317e-03  +5.167e+00  +1.000e+00  +8.928e-07  +2.598e+00
0.204  0.396  1.487  1.94331  -4.7996810e+00  +2.6097603e-03  +5.127e+00  +1.000e+00  +9.018e-07  +2.553e+00
0.206  0.400  1.492  1.94331  -4.7996758e+00  +2.6226266e-03  +5.087e+00  +1.000e+00  +9.107e-07  +2.509e+00
0.208  0.404  1.498  1.94331  -4.7996705e+00  +2.6353324e-03  +5.048e+00  +1.000e+00  +9.195e-07  +2.465e+00
0.210  0.408  1.504  1.94331  -4.7996652e+00  +2.6478796e-03  +5.009e+00  +1.000e+00  +9.283e-07  +2.423e+00
0.212  0.412  1.510  1.94331  -4.7996599e+00  +2.6602699e-03  +4.970e+00  +1.000e+00  +9.370e-07  +2.382e+00
0.214  0.416  1.516  1.94331  -4.7996546e+00  +2.6725051e-03  +4.932e+00  +1.000e+00  +9.456e-07  +2.341e+00
0.216  0.420  1.522  1.94331  -4.7996492e+00  +2.6845869e-03  +4.893e+00  +1.000e+00  +9.542e-07  +2.301e+00
0.218  0.424  1.528  1.94331  -4.7996438e+00  +2.6965172e-03  +4.855e+00  +1.000e+00  +9.627e-07  +2.262e+00
0.220  0.428  1.533  1.94331  -4.7996384e+00  +2.7082975e-03  +4.818e+00  +1.000e+00  +9.711e-07  +2.224e+00
0.222  0.431  1.539  1.94331  -4.7996330e+00  +2.7199295e-03  +4.781e+00  +1.000e+00  +9.795e-07  +2.187e+00
0.224  0.435  1.545  1.94331  -4.7996275e+00  +2.7314151e-03  +4.744e+00  +1.000e+00  +9.878e-07  +2.150e+00
0.226  0.439  1.551  1.94331  -4.7996221e+00  +2.7427557e-03  +4.707e+00  +1.000e+00  +9.960e-07  +2.114e+00
0.228  0.443  1.557  1.94331  -4.7996166e+00  +2.7539531e-03  +4.670e+00  +1.000e+00  +1.004e-06  +2.079e+00
0.230  0.447  1.564  1.94331  -4.7996111e+00  +2.7650088e-03  +4.634e+00  +1.000e+00  +1.012e-06  +2.044e+00
0.232  0.451  1.570  1.94331  -4.7996055e+00  +2.7759244e-03  +4.598e+00  +1.000e+00  +1.020e-06  +2.011e+00
0.234  0.455  1.576  1.94331  -4.7996000e+00  +2.7867016e-03  +4.563e+00  +1.000e+00  +1.028e-06  +1.977e+00
0.236  0.459  1.582  1.94331  -4.7995944e+00  +2.7973419e-03  +4.527e+00  +1.000e+00  +1.036e-06  +1.945e+00
0.238  0.463  1.588  1.94331  -4.7995888e+00  +2.8078468e-03  +4.492e+00  +1.000e+00  +1.044e-06  +1.913e+00
0.240  0.466  1.594  1.94331  -4.7995831e+00  +2.8182178e-03  +4.458e+00  +1.000e+00  +1.052e-06  +1.882e+00
0.242  0.470  1.600  1.94331  -4.7995775e+00  +2.8284566e-03  +4.423e+00  +1.000e+00  +1.059e-06  +1.851e+00
0.244  0.474  1.607  1.94331  -4.7995718e+00  +2.8385644e-03  +4.389e+00  +1.000e+00  +1.067e-06  +1.821e+00
0.246  0.478  1.613  1.94331  -4.7995661e+00  +2.8485430e-03  +4.355e+00  +1.000e+00  +1.074e-06  +1.791e+00
0.248  0.482  1.619  1.94330  -4.7995604e+00  +2.8583936e-03  +4.321e+00  +1.000e+00  +1.082e-06  +1.762e+00
0.250  0.486  1.626  1.94330  -4.7995547e+00  +2.8681178e-03  +4.288e+00  +1.000e+00  +1.089e-06  +1.733e+00
0.252  0.490  1.632  1.94330  -4.7995490e+00  +2.8777169e-03  +4.254e+00  +1.000e+00  +1.096e-06  +1.705e+00
0.254  0.494  1.638  1.94330  -4.7995432e+00  +2.8871925e-03  +4.222e+00  +1.000e+00  +1.104e-06  +1.678e+00
0.256  0.497  1.645  1.94330  -4.7995374e+00  +2.8965458e-03  +4.189e+00  +1.000e+00  +1.111e-06  +1.651e+00
0.258  0.501  1.651  1.94330  -4.7995316e+00  +2.9057783e-03  +4.156e+00  +1.000e+00  +1.118e-06  +1.624e+00
0.260  0.505  1.657  1.94330  -4.7995258e+00  +2.9148912e-03  +4.124e+00  +1.000e+00  +1.125e-06  +1.598e+00
0.262  0.509  1.664  1.94330  -4.7995199e+00  +2.9238861e-03  +4.092e+00  +1.000e+00  +1.132e-06  +1.573e+00
0.264  0.513  1.670  1.94330  -4.7995141e+00  +2.9327642e-03  +4.061e+00  +1.000e+00  +1.139e-06  +1.548e+00
0.266  0.517  1.677  1.94330  -4.7995082e+00  +2.9415268e-03  +4.029e+00  +1.000e+00  +1.146e-06  +1.523e+00
0.268  0.521  1.683  1.94330  -4.7995023e+00  +2.9501752e-03  +3.998e+00  +1.000e+00  +1.152e-06  +1.499e+00
0.270  0.525  1.690  1.94330  -4.7994964e+00  +2.9587108e-03  +3.967e+00  +1.000e+00  +1.159e-06  +1.475e+00
0.272  0.529  1.697  1.94330  -4.7994905e+00  +2.9671347e-03  +3.936e+00  +1.000e+00  +1.166e-06  +1.451e+00
0.274  0.532  1.703  1.94330  -4.7994845e+00  +2.9754484e-03  +3.906e+00  +1.000e+00  +1.172e-06  +1.428e+00
0.276  0.536  1.710  1.94330  -4.7994786e+00  +2.9836529e-03  +3.876e+00  +1.000e+00  +1.179e-06  +1.406e+00
0.278  0.540  1.716  1.94330  -4.7994726e+00  +2.9917495e-03  +3.846e+00  +1.000e+00  +1.185e-06  +1.383e+00
0.280  0.544  1.723  1.94330  -4.7994666e+00  +2.9997396e-03  +3.816e+00  +1.000e+00  +1.191e-06  +1.362e+00
0.282  0.548  1.730  1.94330  -4.7994606e+00  +3.0076241e-03  +3.786e+00  +1.000e+00  +1.198e-06  +1.340e+00
0.284  0.552  1.737  1.94330  -4.7994546e+00  +3.0154045e-03  +3.757e+00  +1.000e+00  +1.204e-06  +1.319e+00
0.286  0.556  1.743  1.94330  -4.7994486e+00  +3.0230818e-03  +3.728e+00  +1.000e+00  +1.210e-06  +1.298e+00
0.288  0.560  1.750  1.94330  -4.7994425e+00  +3.0306571e-03  +3.699e+00  +1.000e+00  +1.216e-06  +1.278e+00
0.290  0.564  1.757  1.94330  -4.7994364e+00  +3.0381318e-03  +3.670e+00  +1.000e+00  +1.222e-06  +1.258e+00
0.292  0.567  1.764  1.94330  -4.7994303e+00  +3.0455068e-03  +3.642e+00  +1.000e+00  +1.228e-06  +1.238e+00
0.294  0.571  1.771  1.94330  -4.7994242e+00  +3.0527834e-03  +3.614e+00  +1.000e+00  +1.234e-06  +1.218e+00
0.296  0.575  1.778  1.94330  -4.7994181e+00  +3.0599625e-03  +3.586e+00  +1.000e+00  +1.240e-06  +1.199e+00
0.298  0.579  1.784  1.94330  -4.7994120e+00  +3.0670455e-03  +3.558e+00  +1.000e+00  +1.245e-06  +1.180e+00
0.300  0.583  1.791  1.94330  -4.7994059e+00  +3.0740332e-03  +3.530e+00  +1.000e+00  +1.251e-06  +1.162e+00
0.302  0.587  1.798  1.94330  -4.7993997e+00  +3.0809269e-03  +3.503e+00  +1.000e+00  +1.257e-06  +1.144e+00
0.304  0.591  1.805  1.94330  -4.7993935e+00  +3.0877275e-03  +3.476e+00  +1.000e+00  +1.262e-06  +1.126e+00
0.306  0.595  1.812  1.94330  -4.7993874e+00  +3.0944362e-03  +3.449e+00  +1.000e+00  +1.268e-06  +1.108e+00
0.308  0.599  1.819  1.94330  -4.7993812e+00  +3.1010539e-03  +3.422e+00  +1.000e+00  +1.273e-06  +1.091e+00
0.310  0.602  1.827  1.94330  -4.7993750e+00  +3.1075817e-03  +3.396e+00  +1.000e+00  +1.279e-06  +1.074e+00
0.312  0.606  1.834  1.94330  -4.7993687e+00  +3.1140206e-03  +3.370e+00  +1.000e+00  +1.284e-06  +1.057e+00
0.314  0.610  1.841  1.94330  -4.7993625e+00  +3.1203717e-03  +3.343e+00  +1.000e+00  +1.289e-06  +1.040e+00
0.316  0.614  1.848  1.94330  -4.7993563e+00  +3.1266359e-03  +3.318e+00  +1.000e+00  +1.294e-06  +1.024e+00
0.318  0.618  1.855  1.94330  -4.7993500e+00  +3.1328141e-03  +3.292e+00  +1.000e+00  +1.299e-06  +1.008e+00
0.320  0.622  1.862  1.94330  -4.7993437e+00  +3.1389075e-03  +3.266e+00  +1.000e+00  +1.305e-06  +9.920e-01
0.322  0.626  1.870  1.94330  -4.7993374e+00  +3.1449169e-03  +3.241e+00  +1.000e+00  +1.310e-06  +9.765e-01
0.324  0.630  1.877  1.94330  -4.7993311e+00  +3.1508432e-03  +3.216e+00  +1.000e+00  +1.314e-06  +9.611e-01
0.326  0.634  1.884  1.94330  -4.7993248e+00  +3.1566875e-03  +3.191e+00  +1.000e+00  +1.319e-06  +9.461e-01
0.328  0.637  1.892  1.94330  -4.7993185e+00  +3.1624507e-03  +3.166e+00  +1.000e+00  +1.324e-06  +9.312e-01
0.330  0.641  1.899  1.94330  -4.7993122e+00  +3.1681337e-03  +3.142e+00  +1.000e+00  +1.329e-06  +9.166e-01
0.332  0.645  1.906  1.94330  -4.7993058e+00  +3.1737373e-03  +3.118e+00  +1.000e+00  +1.334e-06  +9.022e-01
0.334  0.649  1.914  1.94330  -4.7992995e+00  +3.1792625e-03  +3.093e+00  +1.000e+00  +1.338e-06  +8.880e-01
0.336  0.653  1.921  1.94330  -4.7992931e+00  +3.1847103e-03  +3.069e+00  +1.000e+00  +1.343e-06  +8.740e-01
0.338  0.657  1.929  1.94330  -4.7992868e+00  +3.1900813e-03  +3.046e+00  +1.000e+00  +1.347e-06  +8.603e-01
0.340  0.661  1.936  1.94330  -4.7992804e+00  +3.1953766e-03  +3.022e+00  +1.000e+00  +1.352e-06  +8.467e-01
0.342  0.665  1.944  1.94330  -4.7992740e+00  +3.2005971e-03  +2.999e+00  +1.000e+00  +1.356e-06  +8.333e-01
0.344  0.668  1.951  1.94330  -4.7992676e+00  +3.2057434e-03  +2.975e+00  +1.000e+00  +1.361e-06  +8.202e-01
0.346  0.672  1.959  1.94330  -4.7992611e+00  +3.2108165e-03  +2.952e+00  +1.000e+00  +1.365e-06  +8.072e-01
0.348  0.676  1.967  1.94330  -4.7992547e+00  +3.2158173e-03  +2.930e+00  +1.000e+00  +1.369e-06  +7.945e-01
0.350  0.680  1.974  1.94330  -4.7992483e+00  +3.2207465e-03  +2.907e+00  +1.000e+00  +1.373e-06  +7.819e-01
0.352  0.684  1.982  1.94330  -4.7992418e+00  +3.2256049e-03  +2.884e+00  +1.000e+00  +1.378e-06  +7.695e-01
0.354  0.688  1.990  1.94330  -4.7992354e+00  +3.2303934e-03  +2.862e+00  +1.000e+00  +1.382e-06  +7.573e-01
0.356  0.692  1.997  1.94330  -4.7992289e+00  +3.2351127e-03  +2.840e+00  +1.000e+00  +1.386e-06  +7.452e-01
0.358  0.696  2.005  1.94330  -4.7992224e+00  +3.2397637e-03  +2.818e+00  +1.000e+00  +1.390e-06  +7.333e-01
0.360  0.700  2.013  1.94330  -4.7992160e+00  +3.2443471e-03  +2.796e+00  +1.000e+00  +1.394e-06  +7.216e-01
0.362  0.703  2.021  1.94330  -4.7992095e+00  +3.2488636e-03  +2.774e+00  +1.000e+00  +1.397e-06  +7.101e-01
0.364  0.707  2.029  1.94330  -4.7992030e+00  +3.2533141e-03  +2.753e+00  +1.000e+00  +1.401e-06  +6.988e-01
0.366  0.711  2.037  1.94330  -4.7991965e+00  +3.2576993e-03  +2.732e+00  +1.000e+00  +1.405e-06  +6.876e-01
0.368  0.715  2.044  1.94330  -4.7991899e+00  +3.2620200e-03  +2.710e+00  +1.000e+00  +1.409e-06  +6.765e-01
0.370  0.719  2.052  1.94330  -4.7991834e+00  +3.2662768e-03  +2.689e+00  +1.000e+00  +1.413e-06  +6.656e-01
0.372  0.723  2.060  1.94330  -4.7991769e+00  +3.2704705e-03  +2.669e+00  +1.000e+00  +1.416e-06  +6.549e-01
0.374  0.727  2.068  1.94330  -4.7991703e+00  +3.2746018e-03  +2.648e+00  +1.000e+00  +1.420e-06  +6.443e-01
0.376  0.731  2.076  1.94330  -4.7991638e+00  +3.2786714e-03  +2.627e+00  +1.000e+00  +1.423e-06  +6.339e-01
0.378  0.735  2.085  1.94330  -4.7991572e+00  +3.2826801e-03  +2.607e+00  +1.000e+00  +1.427e-06  +6.236e-01
0.380  0.738  2.093  1.94330  -4.7991506e+00  +3.2866285e-03  +2.587e+00  +1.000e+00  +1.430e-06  +6.135e-01
0.382  0.742  2.101  1.94330  -4.7991441e+00  +3.2905173e-03  +2.567e+00  +1.000e+00  +1.434e-06  +6.035e-01
0.384  0.746  2.109  1.94330  -4.7991375e+00  +3.2943472e-03  +2.547e+00  +1.000e+00  +1.437e-06  +5.937e-01
0.386  0.750  2.117  1.94330  -4.7991309e+00  +3.2981188e-03  +2.527e+00  +1.000e+00  +1.440e-06  +5.840e-01
0.388  0.754  2.125  1.94330  -4.7991243e+00  +3.3018329e-03  +2.508e+00  +1.000e+00  +1.443e-06  +5.744e-01
0.390  0.758  2.134  1.94330  -4.7991177e+00  +3.3054901e-03  +2.488e+00  +1.000e+00  +1.447e-06  +5.649e-01
0.392  0.762  2.142  1.94330  -4.7991111e+00  +3.3090910e-03  +2.469e+00  +1.000e+00  +1.450e-06  +5.556e-01
0.394  0.766  2.150  1.94330  -4.7991044e+00  +3.3126362e-03  +2.450e+00  +1.000e+00  +1.453e-06  +5.464e-01
0.396  0.770  2.159  1.94330  -4.7990978e+00  +3.3161265e-03  +2.431e+00  +1.000e+00  +1.456e-06  +5.374e-01
0.398  0.773  2.167  1.94330  -4.7990912e+00  +3.3195624e-03  +2.412e+00  +1.000e+00  +1.459e-06  +5.284e-01
0.400  0.777  2.176  1.94330  -4.7990845e+00  +3.3229445e-03  +2.393e+00  +1.000e+00  +1.462e-06  +5.196e-01
0.402  0.781  2.184  1.94330  -4.7990779e+00  +3.3262735e-03  +2.375e+00  +1.000e+00  +1.465e-06  +5.109e-01
